candidate_id,P0,Hs,D,r,phi_soil_top,phi_weathered_top,phi_fresh,objective_value,mean_training_rmse_s,mean_training_normalized_rmse,n_picks,n_failed_lines,status,message,soil_exceeds_rd_depth_fraction,mean_H_soil_m,mean_H_weathered_m,mean_D_fresh_m,max_H_soil_m,max_H_weathered_m,max_D_fresh_m,mean_H_m_m,max_H_m_m,mean_H_w_m,max_H_w_m,mean_D_f_m,max_D_f_m,mean_h_weathered,max_h_weathered,mean_d_fresh,max_d_fresh,mean_z_s_relief,max_z_s_relief,mean_Zs_m,max_Zs_m,mean_z_b_relief,max_z_b_relief,mean_Zb_m,max_Zb_m,mean_D_fresh_raw_m,max_D_fresh_raw_m,mean_D_fresh_geometric_m,max_D_fresh_geometric_m,min_Vp_m_per_s_soil,mean_Vp_m_per_s_soil,max_Vp_m_per_s_soil,min_phi_soil,mean_phi_soil,max_phi_soil,min_Vp_m_per_s_weathered,mean_Vp_m_per_s_weathered,max_Vp_m_per_s_weathered,min_phi_weathered,mean_phi_weathered,max_phi_weathered,min_Vp_m_per_s_fresh,mean_Vp_m_per_s_fresh,max_Vp_m_per_s_fresh,min_phi_fresh,mean_phi_fresh,max_phi_fresh,TL1_rmse_s,TL1_normalized_rmse,TL1_n_picks,TL2_rmse_s,TL2_normalized_rmse,TL2_n_picks,TL3_rmse_s,TL3_normalized_rmse,TL3_n_picks,TL4_rmse_s,TL4_normalized_rmse,TL4_n_picks,TL5_rmse_s,TL5_normalized_rmse,TL5_n_picks
1009,0.00010797900039674402,0.656523436221556,0.0010937164504134875,0.4202056692862832,0.5564487880712556,0.2503643715608549,0.09919146665163017,1.1752966322305407,0.004986361311335562,1.1752966322305407,5269,0,ok,,0.0982823195144001,1.7671029686035546,8.628780262598967,10.395883231202523,3.3409485593360757,51.92893933440016,53.793497477258676,1.7671029686035546,3.3409485593360757,8.628780262598967,51.92893933440016,10.395883231202523,53.793497477258676,8.628780262598967,51.92893933440016,10.395883231202523,53.793497477258676,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.523359937834864,38.98681206981781,7.523359937834864,38.98681206981781,10.380634433809968,53.793497477258676,10.380634433809968,53.793497477258676,346.3561606388762,411.50975554966936,620.1825033937187,0.2503702288869264,0.46214897193542404,0.5564487880712556,679.897330763148,1714.8217641013619,3156.1043522422788,0.09919768308359048,0.17669161115249848,0.2503612104275519,3156.250987753207,3156.250987753212,3156.250987753207,0.09919146665163017,0.09919146665163035,0.09919146665163017,0.005330693985987869,1.256456621974123,1349.0,0.006427328781265157,1.5149359220493537,992.0,0.004252294312694264,1.0022753813690346,976.0,0.00486597637594087,1.1469216308404433,976.0,0.004055513100789654,0.9558936049197488,976.0
1215,8.102336095194722e-05,0.4818269332258849,0.0018031414116614628,0.4276089958883482,0.5613274439791254,0.26737028327734824,0.09808144579495326,1.1799324352160105,0.005006029357699187,1.1799324352160105,5269,0,ok,,0.09892806405785871,1.7216953221722604,8.543962639519723,10.265657961691984,3.8186191061909787,51.31443496358868,53.10661454344098,1.7216953221722604,3.8186191061909787,8.543962639519723,51.31443496358868,10.265657961691984,53.10661454344098,8.543962639519723,51.31443496358868,10.265657961691984,53.10661454344098,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.655909055649686,39.6736950036355,7.655909055649686,39.6736950036355,10.248085315995148,53.10661454344098,10.248085315995148,53.10661454344098,345.0526829180917,409.85553538853225,603.1369214889291,0.2673842730936643,0.46799708031619924,0.5613274439791254,638.8868496490915,1682.4192313685965,3173.2399553633995,0.09808253418118576,0.1842512521903918,0.2673698938605667,3173.264820234014,3173.264820234017,3173.264820234014,0.09808144579495326,0.09808144579495343,0.09808144579495326,0.005339551243736042,1.2585442976462733,1349.0,0.006412942025642508,1.511544931229337,992.0,0.004268643698474131,1.0061289685534274,976.0,0.00493244536381258,1.1625885215280076,976.0,0.004076564456830672,0.9608554571230075,976.0
1341,0.00013182956517717527,0.5770792283881605,0.0015796165782956707,0.4753646342684709,0.4776306150263996,0.2913301076654846,0.09839563138709922,1.1820600986286074,0.005015056269061964,1.1820600986286074,5269,0,ok,,0.1078393387575875,1.746914867965635,7.6681769508568225,9.415091818822457,3.6558655334177286,46.848528735928284,48.67583163191495,1.746914867965635,3.6558655334177286,7.6681769508568225,46.848528735928284,9.415091818822457,48.67583163191495,7.6681769508568225,46.848528735928284,9.415091818822457,48.67583163191495,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.51092573642171,44.10447791516153,8.51092573642171,44.10447791516153,9.393068635223125,48.67583163191495,9.393068635223125,48.67583163191495,368.5218504926016,424.83536962395965,581.9128820233606,0.29133362246041894,0.41875507111998866,0.4776306150263996,593.0061480265133,1619.0756973571722,3168.40905321041,0.09839657307647878,0.1970744847505454,0.29132746826267847,3168.429661141158,3168.4296611411614,3168.429661141158,0.09839563138709922,0.09839563138709911,0.09839563138709922,0.005381813509356424,1.2685056091824327,1349.0,0.006441455323225467,1.5182655799209708,992.0,0.00425351028821438,1.0025619895477114,976.0,0.004938630671425819,1.1640464125136896,976.0,0.004059871553087734,0.9569209019782324,976.0
1572,0.0001405039626277336,0.4484095085774559,0.0008620890662889319,0.4131050708401669,0.5541104768390097,0.25826503801643225,0.09747431717914236,1.1831856003045396,0.005019831368265695,1.1831856003045396,5269,0,ok,,0.09492444788841534,1.753343318974115,8.767718937439007,10.521062256413124,3.132332515601511,52.596376714845576,54.45229319905884,1.753343318974115,3.132332515601511,8.767718937439007,52.596376714845576,10.521062256413124,54.45229319905884,8.767718937439007,52.596376714845576,10.521062256413124,54.45229319905884,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.396230863220289,38.32801634801764,7.396230863220289,38.32801634801764,10.507763508424546,54.45229319905884,10.507763508424546,54.45229319905884,346.99085531936305,407.26309255316306,612.0372975026747,0.25827678623316447,0.4665716718916221,0.5541104768390097,659.85606970606,1698.5428846807606,3182.438953919047,0.09748345501046127,0.18011645329125578,0.2582640104756707,3182.652101896283,3182.6521018962903,3182.652101896283,0.09747431717914236,0.09747431717914234,0.09747431717914236,0.005400946047834985,1.2730151917489338,1349.0,0.006440716332103068,1.5180913980430093,992.0,0.004236116408472739,0.9984622127755588,976.0,0.00491356769230666,1.1581390116830583,976.0,0.004107810360611019,0.9682201872721365,976.0
1233,9.891899782496952e-05,0.3177851052881483,0.001397083555597475,0.4343892710273358,0.5038888423736971,0.25439034204505695,0.0977271522676989,1.1834298979770603,0.0050208678355109,1.1834298979770603,5269,0,ok,,0.09892806405785871,1.7267958905473841,8.416536328115653,10.143332218663037,3.5331479148997764,50.66795173050762,52.477538517231366,1.7267958905473841,3.5331479148997764,8.416536328115653,50.66795173050762,10.143332218663037,52.477538517231366,8.416536328115653,50.66795173050762,10.143332218663037,52.477538517231366,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.777303063576324,40.30277102984512,7.777303063576324,40.30277102984512,10.12669130806851,52.477538517231366,10.12669130806851,52.477538517231366,360.4551045446858,423.1383664055472,615.9893880803178,0.2543941593281275,0.42686809093101497,0.5038888423736971,669.5096181748384,1713.2559774339459,3178.731462326661,0.09772733600479877,0.17783143250927788,0.25438311772732336,3178.735779703553,3178.735779703554,3178.735779703553,0.0977271522676989,0.09772715226769899,0.0977271522676989,0.0053520165137569235,1.2614823899666352,1349.0,0.006549137200306133,1.5436464417525162,992.0,0.004198074282958205,0.9894955978015333,976.0,0.00501376476916192,1.1817556891828662,976.0,0.0039913464113713205,0.9407693711817507,976.0
1550,0.00017608209759693746,0.4300191431433469,0.0014340695061535332,0.45145835592836703,0.5518697721895113,0.25382317020226636,0.09885547900102777,1.1837846210993146,0.005022372798262039,1.1837846210993146,5269,0,ok,,0.10176934004907659,1.7364222599232926,8.103200539058085,9.83962279898138,3.5626520096776466,49.07443045862831,50.89386353642836,1.7364222599232926,3.5626520096776466,8.103200539058085,49.07443045862831,9.83962279898138,50.89386353642836,8.103200539058085,49.07443045862831,9.83962279898138,50.89386353642836,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.082907863573514,41.88644601064812,8.082907863573514,41.88644601064812,9.821086508071321,50.89386353642836,9.821086508071321,50.89386353642836,347.6051828053349,412.61064535482745,616.5473471944255,0.25384370497139774,0.45920494493612035,0.5518697721895113,670.8843166509822,1710.5511405575942,3161.3476902738553,0.09885688393359093,0.178047242837593,0.25382294961961105,3161.3806068045787,3161.3806068045724,3161.3806068045787,0.09885547900102777,0.09885547900102769,0.09885547900102777,0.005335766419431045,1.2576522060023856,1349.0,0.006550082902783292,1.543869345964044,992.0,0.00423560868618261,0.9983425414841224,976.0,0.004988745296356715,1.1758585428887753,976.0,0.0040016606865565275,0.9432004691572454,976.0
1579,0.00014824847751461207,0.5237984180386143,0.0006466836743921744,0.4743222133814297,0.5640468807277158,0.27668516336166554,0.09902866765439607,1.184655989060577,0.005026069699427942,1.184655989060577,5269,0,ok,,0.10551465840113651,1.7700262969341058,7.659805634336346,9.429831931270451,2.9186212480012546,46.89097178945088,48.77254776449297,1.7700262969341058,2.9186212480012546,7.659805634336346,46.89097178945088,9.429831931270451,48.77254776449297,7.659805634336346,46.89097178945088,9.429831931270451,48.77254776449297,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.492262238727237,44.007761782583515,8.492262238727237,44.007761782583515,9.411732132917598,48.77254776449297,9.411732132917598,48.77254776449297,344.3381189237511,400.87295254665537,594.5460019117393,0.2766855299103493,0.4805393676487574,0.5640468807277158,619.6416142499046,1636.7994346703506,3158.691353722144,0.099030588376495,0.19101667914000542,0.276674102373429,3158.7343013933723,3158.73430139338,3158.7343013933723,0.09902866765439607,0.09902866765439619,0.09902866765439607,0.005403732864458372,1.273672050726374,1349.0,0.006464552239420344,1.523709575276269,992.0,0.0042558618060412135,1.0031162476148565,976.0,0.004914097656933333,1.1582639255434948,976.0,0.004092103930286448,0.9645181461418902,976.0
770,0.0001221985160138013,0.38863311176284887,0.0019441112718751334,0.4391562334713354,0.5357209788007109,0.27349515075993164,0.09626374921540767,1.1846664531687832,0.005026114094879173,1.1846664531687832,5269,0,ok,,0.1000904042360842,1.7137268498409122,8.346506728237086,10.060233578077998,3.9426357145822952,50.25616083501109,52.03525826607779,1.7137268498409122,3.9426357145822952,8.346506728237086,50.25616083501109,10.060233578077998,52.03525826607779,8.346506728237086,50.25616083501109,10.060233578077998,52.03525826607779,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.862650732343534,40.745051280998695,7.862650732343534,40.745051280998695,10.041343639301301,52.03525826607779,10.041343639301301,52.03525826607779,351.7083426354567,414.91062052308973,597.4242359629375,0.2735066894339792,0.4519626399664272,0.5357209788007109,625.9837252287957,1676.1321031986415,3201.5263499089765,0.09626450967936412,0.18641312948258765,0.27349050984615386,3201.5436653718175,3201.543665371818,3201.5436653718175,0.09626374921540767,0.0962637492154077,0.09626374921540767,0.005348776937153839,1.260718814438564,1349.0,0.006498675896429476,1.5317525983662827,992.0,0.004204769189905651,0.991073602502184,976.0,0.00504204843760157,1.1884222137663691,976.0,0.004036300013305328,0.9513650367705165,976.0
1099,0.00011505678440235968,0.6894028253748222,0.0008401231220393461,0.49821185839678805,0.5354300913099174,0.28826707984211974,0.09925287005289961,1.185145906056595,0.00502814824120856,1.185145906056595,5269,0,ok,,0.11068061474880538,1.7816278567023238,7.224769489120386,9.006397345822709,3.129323093864072,44.66728576766248,46.556059104998255,1.7816278567023238,3.129323093864072,7.224769489120386,44.66728576766248,9.006397345822709,46.556059104998255,7.224769489120386,44.66728576766248,9.006397345822709,46.556059104998255,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,8.919982308622808,46.22425044207823,8.919982308622808,46.22425044207823,8.984012063022028,46.556059104998255,8.984012063022028,46.556059104998255,351.7834938202517,408.84079532187417,584.4632256971078,0.28827353225909624,0.4603115006241221,0.5354300913099174,598.1893638330527,1612.4748509393894,3155.164872118004,0.09925974430776288,0.19685479290372448,0.2882669125724965,3155.3154138850696,3155.3154138850696,3155.3154138850696,0.09925287005289961,0.09925287005289953,0.09925287005289961,0.0054044751563312775,1.273847010598691,1349.0,0.006472360314837744,1.525549956301489,992.0,0.004251417914981886,1.0020688124472217,976.0,0.004936237453818128,1.1634823257139386,976.0,0.0040762503660737625,0.9607814252216348,976.0
1352,0.0001121204259949338,0.6406894303438614,0.0003267866048511181,0.4441007228539786,0.5227485079956771,0.2671517804921295,0.09940709790056632,1.1858137565579487,0.005030981690918516,1.1858137565579487,5269,0,ok,,0.0994446596926256,1.7892043772040138,8.177865992017594,9.96707036922161,2.511341575143478,49.66333589995661,51.576507010603926,1.7892043772040138,2.511341575143478,8.177865992017594,49.66333589995661,9.96707036922161,51.576507010603926,8.177865992017594,49.66333589995661,9.96707036922161,51.576507010603926,17.903994371644835,92.78030954707648,17.903994371644835,92.78030954707648,7.951176842421036,41.20380253647256,7.951176842421036,41.20380253647256,9.952817529223799,51.576507010603926,9.952817529223799,51.576507010603926,355.1436662573757,407.90413617468084,603.3583024518738,0.26715670008890335,0.45233477978978814,0.5227485079956771,639.3647537458598,1653.5272363706908,3152.8110265710147,0.09941400791636718,0.18666392800123713,0.26715143375244127,3152.9680883852498,3152.968088385246,3152.9680883852498,0.09940709790056632,0.09940709790056636,0.09940709790056632,0.005448080765173348,1.2841249511686899,1349.0,0.006430196943279753,1.5156119543193742,992.0,0.004281409190057811,1.0091378237747606,976.0,0.004841177177239576,1.141076403650551,976.0,0.004154044378842096,0.9791176498763685,976.0
